QUEST_LV_0300_20150717_000036		단말기 파괴(1)				
QUEST_LV_0300_20150717_000043		그리고 영원한 안식(1)				
QUEST_LV_0300_20150717_000045		그리고 영원한 안식(2)				
QUEST_LV_0300_20150717_000047		그리고 영원한 안식(3)				
QUEST_LV_0300_20150717_000050		탐지기 작동 점검				
QUEST_LV_0300_20150717_000051		큐폴 메일레와 대화				
QUEST_LV_0300_20150717_000055		큐폴 메일레에게 돌아가기				
QUEST_LV_0300_20150717_000075		몬스터를 사냥하여 노끈 구하기				
QUEST_LV_0300_20150717_000076		석화 탐지기를 모두 수리했습니다. 이 사실을 큐폴 메일레에게 알려 주세요.				
QUEST_LV_0300_20150717_000081		바라는 것은 오직				
QUEST_LV_0300_20150717_000108		그리고 영원한 안식				
QUEST_LV_0300_20150717_000116		쉬트리가일라의 오브를 설치 했더니, 엄청난 반응을 일으키면서 몬스터들이 몰려들었습니다! 몬스터들을 물리치세요!				
QUEST_LV_0300_20150729_000133		이 곳 어딘가에 있는 영혼집약기는 인간의 영혼을 흡수하는 장치라네.{nl}그 에너지를 어딘가에 모아서 사용하고 있지.{nl}이렇게 석화서리가 불어오고 난 뒤에도 칼리스 기사단과 도굴꾼들, 왕국군이 활동하는 이 곳은 영혼 집약기가 있기에는 정말 적당한 장소겠지..				마족 쉬트리가일라
QUEST_LV_0300_20150729_000134		{nl}{nl}생각해 보면 나를 이 곳에 보낸 이들은 그렇게 영원히 영혼을 모으기 위해 나를 영혼집약기와 생명으로 연결해 놓은 것이 아닐까. 영혼 집약기가 파괴 되면 나도 죽을 수 있지 않을까.				마족 쉬트리가일라
QUEST_LV_0300_20150729_000144		이제 마지막인가. 정말로.				마족 쉬트리가일라
QUEST_LV_0300_20150729_000150		협조 하겠다고 한다	QUEST_LV_0100_20150317_003015	I'll get it. 	구해 오겠다고 한다	
QUEST_LV_0300_20150803_000178		감사의 말을 전한다				
QUEST_LV_0300_20150803_000179		탐지기 작동 점검(6)				
QUEST_LV_0300_20150803_000188		레티아로부터 부품을 얻었습니다. 이제 연안요새의 큐폴 메일레에게 돌아가세요.				
QUEST_LV_0300_20150908_000189		수리 중				
QUEST_LV_0300_20150908_000195		저주가 풀렸습니다				
QUEST_LV_0300_20150908_000200		쉬트리가일라가 원하는 것이 이루어 진 것 같습니다				
QUEST_LV_0300_20150908_000201		수습 중				
QUEST_LV_0300_20150908_000202		시신을 수습하고 유품을 구했습니다!				
QUEST_LV_0300_20150908_000203		시신을 수습했습니다!				
QUEST_LV_0300_20150908_000205		아무 것도 채취하지 못했습니다!				
QUEST_LV_0300_20150908_000206		석화물 가루 채취 중				
QUEST_LV_0300_20150908_000207		석화물 가루를 채취하였습니다!				
QUEST_LV_0300_20150908_000208		석화물 가루 채취에 실패 하였습니다!				
QUEST_LV_0300_20150908_000211		아무 것도 얻지 못했습니다				
QUEST_LV_0300_20151001_000214		하지만 이 석화서리는 마왕 제스티의 저주.. {nl}저희 큐폴들까지 돌로 만들어 버리지요.{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000215		적어도 석화서리가 언제 불어오는지만 알면 돼요.{nl}인간들이 놓고 간 석화 탐지기가 있긴 한데 어떤 건 고장 난 것 같거든요.{nl}절 도와주실 수 있을까요?				큐폴 메일레
QUEST_LV_0300_20151001_000230		사실 석화서리가 반란의 벌이다 같은 건 지어진 이야기일 뿐이예요.{nl}반란이 끝나고 때 마침 불어온 저주였으니 인간들은 그리 생각하는게 당연하겠죠.{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000231		하지만 아니예요. {nl}모든 건 그들의 계략이었어요.{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000232		하지만 먼저 깬 건 마족이였어요.{nl}그것이 이 석화서리.. 죽음을 넘어서 영혼까지 돌이 되어 버렸지요.{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000233		마왕 제스티는 이 일대에 석화의 저주를 내렸고 여신들은 인간을 구원하려고 했어요.{nl}하지만 마족은 서로의 일에 관여하지 않겠다는 규칙을 잊었냐며 그 곳에..{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000234		잠시만요. 너무 괴로운 기억이라서요..{nl}끔찍한 재앙을 내렸어요. {nl}				큐폴 메일레
QUEST_LV_0300_20151001_000235		여신들이 석화된 이 곳의 구원을 포기해야 할 만큼 엄청난 재앙을요.{nl}이 석화서리들.. 전부 이게 다.. 저희가 구원을 포기한 대가입니다.{nl}				큐폴 메일레
QUEST_LV_0300_20151001_000236		지금이라도 그 영혼들을 전부 구원하려고 해요.{nl}계시자님께서 석화 탐지기를 전부 고쳐 주셨으니 반드시 영혼들을 안식으로 인도하겠어요.				큐폴 메일레
QUEST_LV_0300_20151001_000239		수 백년 간, 수도 없이 탈출하려 애썼다.{nl}하지만 석화의 저주는 마왕의 힘이다. 계속되는 절망만이 내 목을 조였다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000240		설령 벗어난다 해도 의무를 다 하지 못하고 도망친 자일 뿐. {nl}배신자의 올가미가 씌워지겠지. 날 조롱한 동료들의 발 밑을 기며..{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000241		나의 죽음에 협조하면 반드시 네 저주를 풀어 주겠다.{nl}길티네님의 이름을 걸고 약속하마.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000255		마군주께선 신에게 바칠 인간의 영혼을 모으라고 명령하셨다.{nl}그래서 우린 이 곳에 영혼을 모을 집약기를 만들었지.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000256		과정은 순조로웠지만 그만 내가 석화서리의 저주에 당하고 말았다.{nl}꼼짝도 못하던 날 녀석들이 비웃으며 말했다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000257		이제 난 영혼 집약기의 마력원이 될 거라고.{nl}왜 그 말을 지금껏 잊고 있었을까..				마족 쉬트리가일라
QUEST_LV_0300_20151001_000258		너도 당해봐서 알 것이다.{nl}결계석에 걸린 저주.. 인간을 끌여들어 영혼을 뽑아내지.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000259		그렇게 뽑힌 영혼은 영혼 집약기에 모여 신께 바쳐진다.{nl}그래, 신이라.. 나와 같은 처지나 다름 없지.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000262		날 버리고 비웃던 그 녀석들은 동료라고 불릴 자격도 없다.{nl}죽음으로 복수할 것이다. 날 한낯 동력원따위로 만든 걸 후회하게 해 주지.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000265		그래.. 희생자 중에 도굴꾼이 생각나는군.{nl}폭약으로 날 죽음에 이르게 해 주려고 했었지만, 소용 없었지.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000267		왜 진작 이 방법을 떠올리지 못했을까.{nl}나의 충성이 고독의 공포를 앞질렀던 것인지도 모르지.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000269		몬스터가 석화되면서 함께 굳어진 마지막 숨결.. 그걸 결계석에 던져라.{nl}서서히 무너질 것이다.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000272		물론 오브를 만들 방법도 주마.{nl}영혼 집약기를 터뜨릴 오브 말이다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000273		그리고 내 마지막 소원을.. 이루어다오.				마족 쉬트리가일라
QUEST_LV_0300_20151001_000276		길티네님의 이름의 의미를 아는가.{nl}그 분의 뜻은 죽음. 지금 내가 오로지 기댈 수 있는 곳이다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000277		예전의 나는 마족을 위해서라면 무엇이 되어도 상관 없다고 생각했다.{nl}하지만 그런 내게 돌아오는건 재차 불어오는 석화서리뿐이었다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000278		수 백년을 천천히 굳어갔다.{nl}모두의 머릿 속에 내 이름은 지워졌다.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151001_000279		비록 그 분께서 내게 안식을 내려 주지 않아도 지금보다는 나을 것이다.{nl}그저 쉬고 싶을뿐..				마족 쉬트리가일라
QUEST_LV_0300_20151001_000283		여기 있군요. {nl}수리 자체는 어렵지 않을 겁니다.				왕국군 레티아
QUEST_LV_0300_20151001_000287		기둥				
QUEST_LV_0300_20151001_000295		우리 집은 내성곽지구에 있었지..{nl}부탁이다. 제발 집으로 돌아가고 싶어. 반지와 함께..				원한 서린 영혼
QUEST_LV_0300_20151001_000296		그래 가일류스 르귄, 내 오랜 친구지.{nl}오랜 친구는 공짜로 남에 귀한 물건을 가져다 쓰고 안 돌려줘도 되나?{nl}				파드너 에리카스
QUEST_LV_0300_20151001_000297		아버지가 죽었으면 딸이라도 빚을 갚아야지!{nl}게다가 난 그 유스티나라는 아가씨는 본 적도 없단 말이야.{nl}				파드너 에리카스
QUEST_LV_0300_20151001_000298		솔직히 이녀석이 누구건 내 물건만 가져다 주면 상관없어!{nl}그 딸이라는 여자가 진짠지 가짠지도 내 알바 아니고 말이야.				파드너 에리카스
QUEST_LV_0300_20151001_000299		이제 거래같은 건 안 하겠어.{nl}내가 왜 이런 수모를 당해야하지?				파드너 에리카스
QUEST_LV_0300_20151001_000300		유스티나가 보고 싶네..				가일류스 르귄
QUEST_LV_0300_20151001_000303		메사파슬라 부대장 고먼				
QUEST_LV_0300_20151001_000308		고원병사 바스케즈				
QUEST_LV_0300_20151001_000313		연락병 로체스				
QUEST_LV_0300_20151001_000318		보급병 론다				
QUEST_LV_0300_20151001_000321		스카이카 보급로 쪽에 고원 감자가 자라고 있어요.{nl}캐는 거야 일도 아닙니다만..{nl}				보급병 론다
QUEST_LV_0300_20151001_000322		보급병은 저 혼자라서 감자를 캘 시간도 허락하질 않는군요.{nl}그 쪽으로 가실 일이 있다면 감자를 조금만 부탁드립니다.				보급병 론다
QUEST_LV_0300_20151001_000323		처음 뵌 분께 이런 부탁을 드리는 건 정말 죄송하지만.. {nl}상황이 이러니 어쩔 수 없네요.				보급병 론다
QUEST_LV_0300_20151001_000324		고기만 먹어선 제대로 싸울 힘이 나지 않습니다.{nl}골고루 먹는 게 중요하지요.				보급병 론다
QUEST_LV_0300_20151001_000325		여긴 다른 곳보다 춥기 때문에 배는 먹어야 버틸 수 있습니다.{nl}보급병인 제 입장에선 정말 머리가 지끈거리지요.				보급병 론다
QUEST_LV_0300_20151001_000330		텐트 속의 부상자				
QUEST_LV_0300_20151001_000331		으윽... 스승님...{nl}너무 괴로워요...				텐트 속의 부상자
QUEST_LV_0300_20151001_000332		엄마... 보고싶어요... 으으으...				텐트 속의 부상자
QUEST_LV_0300_20151001_000333		마법사 호라스				
QUEST_LV_0300_20151001_000336		고원병사 모티머				
QUEST_LV_0300_20151001_000341		석화서리를 피해				
QUEST_LV_0300_20151001_000343		구해준 건 감사하지만 이만 떠나겠다고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000344		너무 머니 다른 방법을 찾자고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000345		도울 여력이 없다고 한다				
QUEST_LV_0300_20151001_000346		잠시 여기에 머물다 가겠다고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000347		석화 탐지기를 수리하고 오겠다고 한다	QUEST_LV_0100_20150317_003369	Don't worry	걱정 말라고 한다	
QUEST_LV_0300_20151001_000348		잠시 준비가 더 필요하다고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000349		석화 탐지기가 작동하기 시작합니다!				
QUEST_LV_0300_20151001_000353		이야기를 다시 듣는다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000355		결계석으로 영혼이 빨려 들어가는 느낌입니다!{nl}이걸 해결해 줄 누군가를 빨리 찾아야 합니다!				
QUEST_LV_0300_20151001_000356		마족을 도울 수는 없다고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000357		어쩔 수 없으니 돌아가겠다고 한다	QUEST_LV_0100_20150317_002378	Alright	알겠다고 한다	
QUEST_LV_0300_20151001_000358		잠시 생각 좀 해 보겠다고 한다	QUEST_LV_0100_20150317_002379	Cancel	종료	
QUEST_LV_0300_20151001_000361		죽음을 위하여(1)				
QUEST_LV_0300_20151001_000362		영혼 집약기를 파괴하겠다고 한다				
QUEST_LV_0300_20151001_000363		그만 돕겠다고 한다				
QUEST_LV_0300_20151001_000366		죽음을 위하여(2)				
QUEST_LV_0300_20151001_000367		폭약을 모아 오겠다고 한다	QUEST_LV_0100_20150317_002378	Alright	알겠다고 한다	
QUEST_LV_0300_20151001_000370		죽음을 위하여(3)				
QUEST_LV_0300_20151001_000375		석화서리로부터 탈출				
QUEST_LV_0300_20151001_000376		탐지기를 살펴보려 하자 공교롭게도 석화서리가 불어오는 것 같습니다. 석화서리를 피해 안전한 곳으로 달리세요!				
QUEST_LV_0300_20151001_000379		큐폴 메일레에게 상황 전달	QUEST_LV_0300_20150717_000055		큐폴 메일레에게 돌아가기	
QUEST_LV_0300_20151001_000382		왕국군 레티아 찾아가기				
QUEST_LV_0300_20151001_000383		큐폴 메일레는 왕국군이 석화 탐지기를 설치했으니 그들이 제일 잘 알 것이라고 합니다. 베르크티 광장의 왕국군 장교 레티아를 찾아가 보세요.				
QUEST_LV_0300_20151001_000391		큐폴 메일레에게 복귀	QUEST_LV_0300_20150717_000055		큐폴 메일레에게 돌아가기	
QUEST_LV_0300_20151001_000393		선착장의 석화 탐지기 수리				
QUEST_LV_0300_20151001_000396		스키다 보루의 석화 탐지기 수리				
QUEST_LV_0300_20151001_000403		도움을 줄 만한 누군가를 찾기				
QUEST_LV_0300_20151001_000404		영혼이 빠져 나가고 있는 것인지, 점점 기운이 없어지면서 스태미나가 빠져 나가고 있습니다. 어서 움직여서 이 상황을 풀어 줄 누군가를 찾아 보세요.				
QUEST_LV_0300_20151001_000405		마족 쉬트리가일라와 대화				
QUEST_LV_0300_20151001_000407		지니오스 측량소에 자라는 독초 수집				
QUEST_LV_0300_20151001_000412		마족 쉬트리가일라에게 돌아가기				
QUEST_LV_0300_20151001_000413		클레릭 마스터는 어떤 이유이건 마족을 도울 순 없다고 합니다. 아쉽지만 어쨌든 이 사실을 마족 쉬트리가일라에게 전해 주세요.				
QUEST_LV_0300_20151001_000415		마족 쉬트리가일라는 독초가 효과가 없기에 성수를 이용하여 죽음에 이르려 합니다. 클레릭 마스터를 찾아 가 성수를 얻어 오세요.				
QUEST_LV_0300_20151001_000416		죽음을 위하여				
QUEST_LV_0300_20151001_000424		석화된 도굴꾼에게서 폭약 수집				
QUEST_LV_0300_20151001_000440		쉬트리가일라의 오브를 놓자, 그 힘을 느낀 몬스터들이 마구 몰려들기 시작했습니다. 몰려온 몬스터를 물리치세요.	QUEST_LV_0300_20150717_000116		쉬트리가일라의 오브를 설치 했더니, 엄청난 반응을 일으키면서 몬스터들이 몰려들었습니다! 몬스터들을 물리치세요!	
QUEST_LV_0300_20151001_000446		마지막 숨결을 획득했습니다!				
QUEST_LV_0300_20151016_000448		하지만 루클리스님이 돌아가셨어도 이 긴 전쟁은 끝날 기미가 보이질 않는군.{nl}그는.. 에미넌트는 어디에 있는 거지?{nl}				원한 서린 영혼
QUEST_LV_0300_20151016_000449		뭐가 어떻게 되든 이젠 상관 없어.{nl}난 이 반지와 함께 어머니가 계신 집으로 돌아가고 싶어..				원한 서린 영혼
QUEST_LV_0300_20151016_000459		원한 서린 병사 영혼은 반지와 함께 어머니가 계신 집으로 가고싶어 합니다. 반지를 들고 내성곽지구에 있는 병사의 집을 찾아가세요.				
QUEST_LV_0300_20151022_000464		(이 주변에서 밝은 빛을 낼 만한 걸 구하면 알아 볼 수 있지 않을까?)				기둥에 적힌 글귀
QUEST_LV_0300_20151022_000469		나중에라도여정 도중 왕국 관계자를 만날 수 있다면 부디 전해주시오.{nl}여기 우리가 아직도 성실히 임무를 수행 중이라고.{nl}				메사파슬라 부대장 고먼
QUEST_LV_0300_20151022_000470		그럼 여신의 가호를 빌겠소.				메사파슬라 부대장 고먼
QUEST_LV_0300_20151022_000471		이 당돌하고 버릇없는 것 같으니.{nl}내가 손해본 거나 다름 없는데, 왜 주제 파악을 못하는 거지?				파드너 에리카스
QUEST_LV_0300_20151022_000472		사기꾼 주제에 뻔뻔스럽기까지 하다니.{nl}유스티나 아버님은 왜 대체 저런 사람을 친구로 뒀담.				스콰이어 윌리야
QUEST_LV_0300_20151022_000473		유스티나의 가보를 되찾아서 정말 다행이에요.{nl}하지만 전 저 파드너에게 몇 마디 더 해야겠어요!				스콰이어 윌리야
QUEST_LV_0300_20151022_000474		정말 그 소녀는 누구였을까요.{nl}유스티나에겐.. 사실대로 말해줘야 할까요?				스콰이어 윌리야
QUEST_LV_0300_20151022_000475		조심하세요. 곧 석화서리가 불어올 거예요. {nl}하지만 알 수가 없으니..{nl}				큐폴 메일레
QUEST_LV_0300_20151022_000476		보급로의 석화탐지기는 제대로 작동을 하고 있는 걸까요?{nl}				큐폴 메일레
QUEST_LV_0300_20151022_000477		베르크티 광장에 있는 레티아라는 장교에게 도움을 받을 수 있을지도 몰라요.{nl}인간의 일은 큐폴이 나서기 어려우니 잘 부탁드리겠습니다.				큐폴 메일레
QUEST_LV_0300_20151022_000478		이미 한 번 구원을 포기했고, 신수의 날엔 아무것도 할 수 없었지요.{nl}이제 더 이상 포기할 순 없어요.				큐폴 메일레
QUEST_LV_0300_20151022_000479		네가 그 계시자인가.{nl}				마족 쉬트리가일라
QUEST_LV_0300_20151022_000480		참으로 애처롭군. 애처로와.{nl}너도 나와 같다. 묶여있다 한들 절대로 헤어나올 수 없지.				마족 쉬트리가일라
QUEST_LV_0300_20151022_000481		겁내지 말거라.{nl}이 몸은 달리 널 해할 수도, 네가 날 해할 수도 없으니.				마족 쉬트리가일라
QUEST_LV_0300_20151022_000482		아마 네 친구 보코르라면 그 성물이라는 것의 정체를 알아볼 수 있을 거야.{nl}나도 그게 도대체 뭔지 알아나 보자.				묘지기 시기스
QUEST_LV_0300_20151022_000483		진리의 나무 교단은 칼라일의 영묘로 들어갔어.{nl}조심해. 아무리 생각해도 그들은 제정신이 아니야.				묘지기 시기스
QUEST_LV_0300_20151022_000484		여신의 이름을 팔아서 이런 장난을 치다니, 고인을 모욕하는 것도 정도가 있지.{nl}				묘지기 시기스
QUEST_LV_0300_20151022_000485		그 진리의 나무 교단인지 뭔지 찾아가서 혼쭐을 내주고 싶지만.. {nl}망자들의 안식이 먼저야.				묘지기 시기스
QUEST_LV_0300_20151022_000486		마르기리스님은 칼라일의 묘소로 가는 길에 계십니다.{nl}제가 드린 진리의 증표를 마르기리스님께 가지고 가면 당신의 공을 인정해주실 겁니다.				신도 긴타스
QUEST_LV_0300_20151022_000487		마르기리스님은 저희 교단의 훌륭한 지도자 중 한 분이십니다.{nl}부족한 절 일깨워 주셨지요.				신도 긴타스
QUEST_LV_0300_20151022_000488		우리 진리의 나무 교단은 이미 육신이 썩어 없어진 영혼까지도 구제하지.{nl}어서 칼라일의 죄를 구제하게. {nl}				마르기리스
QUEST_LV_0300_20151022_000489		그의 죄가 적힌 문서만이 그의 영혼을 신수께 인도할 걸세.				마르기리스
QUEST_LV_0300_20151022_000490		칼라일 또한 죄 많은 영혼일 뿐일세.{nl}죄를 사한 영혼은 곧 신수와 하나가 될 게야.				마르기리스
QUEST_LV_0300_20151022_000491		젠장, 아까 그 폭발음은 도대체 뭐지?				왕국군 경비병
QUEST_LV_0300_20151022_000492		갑자기 웬 폭발음이 들리더니 그때부터 몬스터들이 날뛰더군요.{nl}설마 당신들이 저지른 짓은 아니겠지요?				왕국군 경비병
QUEST_LV_0300_20151022_000493		아깐 도와주셔서 정말 감사했습니다.{nl}하지만 여긴 외부인은 절대 들어와선 안되는 곳입니다.				왕국군 경비병
QUEST_LV_0300_20151022_000494		원래대로라면 외부인은 당장 내쫓아야 합니다만..{nl}델루스님께서 당신들의 도움이 필요하다 하시니 어쩔 수 없군요.				왕국군 경비병
QUEST_LV_0300_20151022_000495		몬스터가 한꺼번에 몰려 나오면서 주둔지도 잃고 동료들도 많이 다쳤습니다.{nl}여태껏 한 번도 이런 일은 없었는데..				왕국군 경비병
QUEST_LV_0300_20151022_000496		대지의 요새를 지키면서 여태껏 이런 일은 한 번도 없었습니다.{nl}나름 왕국군 중에서도 정예병으로 뽑힌 건데 자존심에 금이 가는군요.				왕국군 경비병
QUEST_LV_0300_20151022_000497		외부인의 도움을 받아보긴 처음입니다.{nl}원래대로라면 당장 내쫓아야되지만, 이를 어떻게 받아들여야 할지..				왕국군 경비병
QUEST_LV_0300_20151022_000498		델루스님께서 분명 무슨 생각이 있으시겠지요.{nl}구해주신 건 감사하지만, 이럴 땐 어떻게 해야 하는지 저도 잘 모르겠습니다.				왕국군 경비병
QUEST_LV_0300_20151022_000499		조금만 쉬면 금방 움직일 수 있습니다.{nl}당신들 도움 따윈 받지 않아도 아직 더 싸울 수 있단 말입니다.				왕국군 경비병
QUEST_LV_0300_20151022_000500		도대체 전초구역에 있는 녀석들은 제대로 순찰중인건가?{nl}외부인이나 들이고.. 당신들 도움 따윈 필요 없었단 말입니다.				왕국군 경비병
QUEST_LV_0300_20151022_000501		아무리 구해주셨다 한들 외부인은 외부인입니다.{nl}델루스님이 무슨 생각인진 모르겠지만, 빨리 나가주십시오.				왕국군 경비병
QUEST_LV_0300_20151022_000502		조금만 쉬면 이딴 상처쯤은 문제 없습니다.{nl}도움은 필요 없으니 델루스님이 요청하신 일만 마치고 빨리 나가주십시오.				왕국군 경비병
QUEST_LV_0300_20151022_000503		돌격할 준비는 다 됐습니다.{nl}겁이 난다면 뒤에 물러서 계셔도 좋습니다.				왕국군 경비병
QUEST_LV_0300_20151022_000504		녀석들에게 복수할 시간입니다.{nl}명령만 내려지면 바로 돌격할 겁니다!				왕국군 경비병
QUEST_LV_0300_20151022_000505		아깐 기습때문에 방심했을 뿐.{nl}저런 몬스터 따위 하나도 겁나지 않습니다!				왕국군 경비병
QUEST_LV_0300_20151022_000506		다친 것 쯤이야 조금 쉬었으니 문제 없습니다.{nl}빨리 주둔지를 되찾고 싶을 뿐입니다!				왕국군 경비병
QUEST_LV_0300_20151022_000507		당신의 도움 없이도 우리끼리 주둔지를 되찾을 수 있습니다.{nl}델루스님은 대체 뭐가 걱정이신지.				왕국군 경비병
QUEST_LV_0300_20151022_000508		진다는 생각을 하면 벌써 지는 겁니다.{nl}저흰 꼭 주둔지를 되찾을 겁니다!				왕국군 경비병
QUEST_LV_0300_20151022_000509		델루스님의 명령만 기다리고 있습니다.{nl}이제 복수할 시간입니다!				왕국군 경비병
QUEST_LV_0300_20151022_000510		다신 주둔지를 빼앗기지 않을 겁니다.{nl}왕국군의 명예를 걸고!				왕국군 경비병
QUEST_LV_0300_20151022_000511		생각보다 꽤 잘 싸우시더군요.{nl}솔직히 좀 놀랐습니다.				왕국군 경비병
QUEST_LV_0300_20151022_000512		속은 시원합니다만, 외부인의 도움을 빌리다니 찜찜한 건 마찬가지입니다.{nl}이제 어서 나가주십시오.				왕국군 경비병
QUEST_LV_0300_20151022_000513		델루스님이 여기에 들어온 이유는 묻지 않겠다고 하시니 저희도 아무 말 않겠습니다.{nl}하지만 주둔지를 되찾았으니 이제 그만 나가십시오.				왕국군 경비병
QUEST_LV_0300_20151022_000514		이제부터가 시작입니다.{nl}언제 또 다시 쳐들어올지 모르니 방심할 수 없습니다.				왕국군 경비병
QUEST_LV_0300_20151022_000515		원래 여긴 왕명으로 외부인의 출입이 금지된 곳입니다.{nl}감사한 건 감사한 것이지만, 저희도 이젠 어쩔 수가 없습니다.{nl}				왕국군 경비병
QUEST_LV_0300_20151022_000516		이제 전초구역으로 나가시면 됩니다.{nl}아니면 언제까지 대지의 요새에 계실 셈입니까?				왕국군 경비병
QUEST_LV_0300_20151022_000517		당신 도움 없이도 되찾을 주둔지였습니다.{nl}하지만, 잘 싸우시더군요.				왕국군 경비병
QUEST_LV_0300_20151022_000518		두 번 다신 주둔지를 빼앗기지 않을 겁니다.{nl}당신 같은 외부인에게 도움 받을 일도 두 번 다신 없겠죠.				왕국군 경비병
QUEST_LV_0300_20151022_000519		주둔지 방어를 더 강화하도록 델루스님께 건의할 생각입니다.{nl}다시는 이런 치욕스러운 일은 겪고 싶지 않습니다.				왕국군 경비병
QUEST_LV_0300_20151022_000520		언제까지고 쉬고 있을 순 없지요.{nl}몬스터가 다시 공격해 올 지도 모르고 당신같은 외부인들도 막아야 하니까요.				왕국군 경비병
QUEST_LV_0300_20151022_000521		칫, 어쩔 수 없지.{nl}일단 저들이 하라는 대로 따르는 게 좋을 것 같아.				도굴꾼 아만다
QUEST_LV_0300_20151022_000522		골치 아프게 됐어.{nl}하지만 나도 위험에 처한 사람을 그냥 두고 보는 건 원하지 않는다고.				도굴꾼 아만다
